JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,64,18,2024-06-10,CHECKOUT,Drop-off,
2,94,11,2025-07-09,CHECKOUT,Drop-off,
3,34,8,2024-06-14,PRODUCTPAGE,View,235.0
4,33,18,2025-05-28,CHECKOUT,Drop-off,
5,91,10,2023-02-11,HOMEPAGE,Click,156.0
6,54,11,2025-12-19,HOMEPAGE,View,264.0
7,80,4,2023-08-25,HOMEPAGE,View,298.0
8,99,10,2025-07-03,PRODUCTPAGE,View,287.0
9,31,4,2025-06-13,PRODUCTPAGE,View,278.0
10,44,16,2025-04-23,PRODUCTPAGE,View,30.0
11,23,12,2023-08-22,CHECKOUT,Drop-off,
12,97,12,2023-07-28,PRODUCTPAGE,View,227.0
13,83,5,2024-06-20,HOMEPAGE,View,223.0
14,14,13,2025-11-01,PRODUCTPAGE,View,13.0
15,9,1,2025-11-04,PRODUCTPAGE,View,292.0
16,14,16,2024-07-17,HOMEPAGE,View,46.0
17,67,2,2025-12-11,HOMEPAGE,View,185.0
18,70,15,2025-10-13,HOMEPAGE,View,191.0
19,9,1,2024-08-15,HOMEPAGE,View,187.0
20,44,18,2024-02-19,PRODUCTPAGE,View,154.0
21,58,20,2024-03-07,CHECKOUT,Drop-off,
22,12,1,2025-11-19,HOMEPAGE,Click,20.0
23,58,1,2023-07-05,HOMEPAGE,View,48.0
24,77,6,2025-06-25,CHECKOUT,Drop-off,
25,75,12,2023-11-23,PRODUCTPAGE,View,239.0
26,78,20,2024-04-17,HOMEPAGE,View,129.0
27,36,9,2024-08-10,HOMEPAGE,View,214.0
28,1,20,2025-09-26,PRODUCTPAGE,View,64.0
29,12,17,2025-06-01,HOMEPAGE,View,205.0
30,48,2,2023-05-03,PRODUCTPAGE,View,242.0
31,81,19,2023-04-04,HOMEPAGE,View,130.0
32,67,11,2023-09-04,CHECKOUT,Drop-off,
33,2,5,2025-08-10,HOMEPAGE,View,26.0
34,55,15,2023-10-26,HOMEPAGE,View,233.0
35,60,19,2023-06-21,HOMEPAGE,Click,162.0
36,17,2,2023-11-20,CHECKOUT,Purchase,137.0
37,38,17,2024-06-18,CHECKOUT,Drop-off,
38,13,18,2023-02-23,PRODUCTPAGE,View,227.0
39,63,18,2023-08-10,PRODUCTPAGE,View,233.0
40,4,12,2024-12-22,HOMEPAGE,View,110.0
41,92,5,2025-11-23,PRODUCTPAGE,View,124.0
42,95,10,2025-01-28,HOMEPAGE,View,172.0
43,21,8,2025-03-14,HOMEPAGE,View,40.0
44,29,3,2024-02-29,HOMEPAGE,View,193.0
45,94,6,2023-06-07,PRODUCTPAGE,View,118.0
46,30,19,2025-10-27,HOMEPAGE,View,210.0
47,30,20,2024-02-18,CHECKOUT,Drop-off,
48,52,13,2025-02-01,HOMEPAGE,View,241.0
49,93,14,2023-04-09,HOMEPAGE,Click,69.0
50,5,9,2024-04-19,HOMEPAGE,View,44.0
51,65,8,2025-09-29,PRODUCTPAGE,View,272.0
52,15,9,2025-08-07,CHECKOUT,Drop-off,
53,24,4,2024-04-05,HOMEPAGE,View,182.0
54,9,11,2024-11-19,CHECKOUT,Drop-off,
55,1,7,2024-03-17,CHECKOUT,Drop-off,
56,97,11,2023-12-20,HOMEPAGE,Click,234.0
57,52,14,2024-12-02,HOMEPAGE,View,253.0
58,51,20,2025-03-08,PRODUCTPAGE,View,174.0
59,32,8,2024-08-19,HOMEPAGE,View,238.0
60,19,6,2025-06-17,PRODUCTPAGE,View,190.0
61,69,20,2025-07-12,HOMEPAGE,Click,14.0
62,42,1,2024-10-22,HOMEPAGE,View,186.0
63,51,15,2025-05-22,HOMEPAGE,View,139.0
64,86,20,2023-07-03,PRODUCTPAGE,View,77.0
65,54,10,2023-12-23,HOMEPAGE,View,101.0
66,52,2,2023-11-16,HOMEPAGE,Click,242.0
67,25,1,2023-05-21,PRODUCTPAGE,Click,57.0
68,45,16,2023-04-29,PRODUCTPAGE,Click,250.0
69,82,19,2025-02-21,PRODUCTPAGE,Click,158.0
70,75,17,2023-07-07,HOMEPAGE,View,297.0
71,40,20,2023-07-13,CHECKOUT,Drop-off,
72,47,15,2023-08-23,HOMEPAGE,Click,34.0
73,20,16,2024-09-17,HOMEPAGE,View,17.0
74,81,13,2024-09-26,HOMEPAGE,Click,291.0
75,93,1,2024-10-01,PRODUCTPAGE,Click,279.0
76,42,17,2025-05-29,CHECKOUT,Purchase,261.0
77,36,4,2023-06-02,HOMEPAGE,Click,100.0
78,46,17,2025-06-15,CHECKOUT,Purchase,122.0
79,75,10,2023-11-13,HOMEPAGE,View,244.0
80,64,6,2025-04-06,HOMEPAGE,Click,161.0
81,89,15,2025-10-27,CHECKOUT,Purchase,246.0
82,64,2,2025-06-07,HOMEPAGE,Click,261.0
83,54,8,2024-01-18,PRODUCTPAGE,Click,83.0
84,79,15,2025-03-09,CHECKOUT,Purchase,48.0
85,56,4,2023-05-26,HOMEPAGE,Click,166.0
86,83,3,2023-09-06,HOMEPAGE,View,79.0
87,2,2,2023-09-25,HOMEPAGE,View,277.0
88,15,20,2025-12-18,HOMEPAGE,View,136.0
89,14,9,2025-04-18,HOMEPAGE,Click,104.0
90,49,8,2025-03-25,HOMEPAGE,View,248.0
91,99,10,2023-12-07,HOMEPAGE,Click,244.0
92,88,14,2025-03-09,HOMEPAGE,View,29.0
93,43,8,2023-08-22,CHECKOUT,Drop-off,
94,15,18,2024-09-20,HOMEPAGE,Click,143.0
95,60,8,2024-09-14,HOMEPAGE,View,182.0
96,22,9,2024-07-28,PRODUCTPAGE,View,212.0
97,92,19,2025-05-26,HOMEPAGE,View,203.0
98,95,8,2025-05-25,HOMEPAGE,Click,68.0
99,58,16,2024-07-06,CHECKOUT,Purchase,87.0
100,92,10,2024-04-06,PRODUCTPAGE,View,237.0
